H AGB yields: Lugaro et al. (2012), Karakas et al. (2016, 2018)
H Data prepared by: Benoit Cote
H Data prepared date: 2021-07-01
&S-33     &7.046e-06  &0.000e+00  &16 &33
&S-34     &4.098e-05  &0.000e+00  &16 &34
&S-36     &2.023e-07  &0.000e+00  &16 &36
&Cl-35    &8.754e-06  &0.000e+00  &17 &35
&Cl-37    &2.958e-06  &0.000e+00  &17 &37
&Ar-36    &1.630e-04  &0.000e+00  &18 &36
&Ar-38    &3.129e-05  &0.000e+00  &18 &38
&Ar-40    &5.274e-08  &0.000e+00  &18 &40
&K-39     &8.487e-06  &0.000e+00  &19 &39
&K-40     &7.595e-10  &0.000e+00  &19 &40
&K-41     &6.439e-07  &0.000e+00  &19 &41
&Ca-40    &1.469e-04  &0.000e+00  &20 &40
&Ca-42    &1.030e-06  &0.000e+00  &20 &42
&Ca-43    &2.200e-07  &0.000e+00  &20 &43
&Ca-44    &3.478e-06  &0.000e+00  &20 &44
&Ca-46    &6.973e-09  &0.000e+00  &20 &46
&Ca-48    &3.402e-07  &0.000e+00  &20 &48
&Sc-45    &9.813e-08  &0.000e+00  &21 &45
&Ti-46    &5.995e-07  &0.000e+00  &22 &46
&Ti-47    &5.524e-07  &0.000e+00  &22 &47
