[Fe/H] err  [O/Fe] err  [Na/Fe] err [Mg/Fe] err [Al/Fe] err [Si/Fe] err [Ca/Fe] err [Ti/Fe] err [Cr/Fe] err [Ni/Fe] err [Zn/Fe] err [Y/Fe] err [Ba/Fe] err
-0.17  0.03  0.25  0.10  0.08  0.04  0.30  0.05  0.27  0.03  0.15  0.03  0.11  0.05  0.16  0.04  0.00  0.04  0.03  0.04  0.14  0.05 -0.09  0.10 -0.08  0.05
 0.14  0.15  0.14  0.50  0.02  0.33  0.03  0.29  0.01  0.28  0.06  0.27 -0.09  0.37  0.01  0.13  0.03  0.21  0.05  0.13  0.08  0.20 -0.01  0.37 -0.09  0.27
-0.56  0.06  0.33  0.26  0.04  0.10  0.42  0.17  0.35  0.06  0.23  0.10  0.28  0.14  0.36  0.04  0.04  0.08  0.01  0.08  0.19  0.12  0.11  0.21 -0.11  0.07
-0.45  0.06  0.59  0.15  0.05  0.06  0.38  0.09  0.34  0.03  0.24  0.06  0.17  0.10  0.30  0.06  0.10  0.09  0.03  0.07  0.22  0.08  0.14  0.18 -0.13  0.07
-0.06  0.06  0.07  0.14 -0.06  0.03  0.06  0.05 -0.01  0.03  0.03  0.04  0.02  0.06  0.07  0.08 -0.01  0.08 -0.04  0.05  0.08  0.10 -0.07  0.16 -0.02  0.08
 0.31  0.06 -0.15  0.11  0.12  0.06  0.10  0.05  0.09  0.04  0.06  0.03 -0.01  0.03 -0.03  0.05 -0.02  0.05  0.02  0.05 -0.02  0.06 -0.05  0.14 -0.18  0.09
-0.18  0.04  0.09  0.09  0.01  0.05  0.10  0.06  0.05  0.05  0.03  0.02  0.05  0.03  0.03  0.05 -0.02  0.06 -0.06  0.04 -0.07  0.03 -0.05  0.10  0.22  0.05
 0.31  0.08 -0.28  0.16  0.09  0.05 -0.04  0.05  0.02  0.05 -0.01  0.05 -0.06  0.05  0.05  0.08  0.00  0.09  0.00  0.08  0.02  0.05  0.01  0.17 -0.07  0.10
-0.43  0.09 -30.0 -30.0  0.11  0.07  0.10  0.06  0.05  0.06  0.03  0.09  0.03  0.13  0.08  0.04  0.00  0.04  0.01  0.10  0.01  0.21 -0.23  0.33 -0.07  0.19
-0.06  0.04  0.05  0.09  0.04  0.04  0.08  0.05  0.00  0.04  0.04  0.02  0.03  0.03 -0.01  0.07 -0.04  0.06 -0.04  0.04 -0.01  0.04 -0.02  0.12  0.00  0.06
-0.24  0.05  0.10  0.13 -0.02  0.03  0.08  0.05  0.08  0.03  0.05  0.04  0.04  0.05  0.04  0.07  0.00  0.09 -0.02  0.05  0.02  0.07 -0.12  0.16  0.03  0.06
 0.08  0.05 -0.05  0.11  0.06  0.04  0.08  0.05  0.06  0.03  0.05  0.03  0.01  0.04 -0.02  0.06 -0.01  0.06  0.01  0.04  0.01  0.05 -0.10  0.14 -0.14  0.08
-0.46  0.12 -30.0 -30.0  0.07  0.27  0.33  0.27  0.32  0.08  0.22  0.23  0.13  0.48  0.32  0.13  0.03  0.07  0.06  0.23  0.30  0.43  0.19  0.48 -0.23  0.23
-0.44  0.04  0.38  0.12  0.05  0.03  0.26  0.04  0.23  0.04  0.15  0.04  0.16  0.05  0.21  0.06 -0.03  0.06 -0.01  0.04  0.16  0.07 -0.09  0.13 -0.06  0.07
-0.57  0.05  0.51  0.11  0.06  0.03  0.32  0.05  0.25  0.03  0.20  0.04  0.17  0.05  0.23  0.06  0.01  0.06  0.02  0.05  0.15  0.07 -0.12  0.12 -0.16  0.09
-0.43  0.05  0.37  0.11  0.06  0.03  0.27  0.04  0.16  0.03  0.13  0.04  0.16  0.05  0.22  0.06  0.01  0.07 -0.01  0.05  0.29  0.09 -0.07  0.13 -0.03  0.06
-0.05  0.05  0.07  0.13  0.01  0.04  0.18  0.06  0.17  0.03  0.05  0.04  0.10  0.09  0.14  0.06 -0.01  0.07 -0.01  0.05  0.18  0.09 -0.06  0.15  0.07  0.08
-2.26  0.15 -30.0 -30.0 -0.40  0.07  0.25  0.19 -30.0 -30.0 -30.0 -30.0  0.23  0.11  0.31  0.13  0.12  0.14  0.01  0.14  0.35  0.28 -0.12  0.39 -0.39  0.34
